epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7896,0.27023,0.42013,0.78369,0.99811,0.9751,0.98049,0.96632,0.21873,0.36691,0.76845,0.00017271,0.00017271,0.00017271
2,25.0142,0.26063,0.38633,0.78702,0.99632,0.97703,0.98994,0.96817,0.20262,0.35219,0.76738,0.000345736,0.000345736,0.000345736
3,36.3704,0.26777,0.38106,0.78342,0.99821,0.97735,0.98809,0.97058,0.19052,0.3678,0.76733,0.000509763,0.000509763,0.000509763
4,47.7015,0.28413,0.38048,0.78604,0.99751,0.9782,0.98864,0.96162,0.25116,0.37535,0.76896,0.00066479,0.00066479,0.00066479
5,58.9417,0.29669,0.39107,0.78513,0.99843,0.97734,0.99035,0.97175,0.1895,0.33547,0.76654,0.000810819,0.000810819,0.000810819
6,70.2476,0.25836,0.35582,0.78468,0.99733,0.98431,0.98984,0.96936,0.2109,0.33712,0.76759,0.000796511,0.000796511,0.000796511
7,81.4966,0.26389,0.35495,0.78463,0.99249,0.98359,0.98869,0.97163,0.19284,0.32337,0.76435,0.000774013,0.000774013,0.000774013
8,92.7389,0.26084,0.34887,0.78248,0.99064,0.98838,0.98954,0.97622,0.18104,0.32368,0.76519,0.000751516,0.000751516,0.000751516
9,104.054,0.24243,0.33518,0.78207,0.99676,0.98162,0.985,0.97133,0.19279,0.34224,0.76899,0.000729018,0.000729018,0.000729018
10,115.291,0.24372,0.33696,0.78327,0.99756,0.97747,0.99,0.97913,0.17815,0.30972,0.76315,0.00070652,0.00070652,0.00070652
11,126.618,0.23222,0.31997,0.77899,0.99721,0.97942,0.99,0.97373,0.16885,0.29703,0.76233,0.000684022,0.000684022,0.000684022
12,137.87,0.23119,0.3144,0.77813,0.9979,0.97829,0.99038,0.97938,0.15947,0.28946,0.76108,0.000661525,0.000661525,0.000661525
13,149.404,0.22765,0.30277,0.78113,0.9983,0.98067,0.99062,0.97658,0.16987,0.28081,0.76377,0.000639027,0.000639027,0.000639027
14,160.679,0.22505,0.30247,0.7768,0.99781,0.97936,0.99078,0.97575,0.16725,0.26958,0.76304,0.000616529,0.000616529,0.000616529
15,171.951,0.22961,0.29938,0.77594,0.99782,0.98094,0.99002,0.9763,0.15043,0.27182,0.76255,0.000594031,0.000594031,0.000594031
16,183.215,0.21258,0.29108,0.77386,0.99453,0.98907,0.99384,0.97993,0.15851,0.2678,0.75999,0.000571534,0.000571534,0.000571534
17,194.521,0.21556,0.28691,0.77757,0.99559,0.98403,0.9912,0.97971,0.15358,0.26099,0.76133,0.000549036,0.000549036,0.000549036
18,205.784,0.2114,0.28117,0.77711,0.99023,0.9949,0.99367,0.97891,0.17076,0.26111,0.76017,0.000526538,0.000526538,0.000526538
19,217.045,0.21274,0.27514,0.77503,0.99276,0.98959,0.99322,0.97966,0.14833,0.25607,0.7624,0.00050404,0.00050404,0.00050404
20,228.427,0.20673,0.2726,0.77588,0.99623,0.9898,0.99426,0.98158,0.14588,0.24446,0.75978,0.000481543,0.000481543,0.000481543
21,239.813,0.19634,0.26017,0.77391,0.99628,0.98407,0.98953,0.97698,0.13419,0.23467,0.75988,0.000459045,0.000459045,0.000459045
22,251.08,0.19236,0.25411,0.77354,0.9954,0.9898,0.99339,0.98269,0.13391,0.23762,0.75879,0.000436547,0.000436547,0.000436547
23,262.443,0.19553,0.25791,0.77143,0.9981,0.97959,0.9892,0.9787,0.14436,0.23976,0.76012,0.000414049,0.000414049,0.000414049
24,273.713,0.20019,0.26037,0.77448,0.99198,0.9898,0.99051,0.97812,0.14691,0.2342,0.76043,0.000391552,0.000391552,0.000391552
25,284.994,0.19024,0.24996,0.77406,0.99228,0.9898,0.98886,0.9772,0.13506,0.23007,0.76049,0.000369054,0.000369054,0.000369054
26,296.271,0.18352,0.24533,0.77713,0.98851,0.98881,0.98961,0.98214,0.13524,0.21912,0.75902,0.000346556,0.000346556,0.000346556
27,307.534,0.17995,0.23984,0.77311,0.99467,0.98409,0.98871,0.97742,0.1302,0.2199,0.75922,0.000324058,0.000324058,0.000324058
28,318.803,0.18461,0.24031,0.77398,0.99507,0.98416,0.98314,0.97578,0.13178,0.22152,0.7599,0.000301561,0.000301561,0.000301561
29,330.047,0.18874,0.24471,0.77389,0.99419,0.98865,0.99375,0.98254,0.12743,0.21856,0.75811,0.000279063,0.000279063,0.000279063
30,341.313,0.17647,0.23864,0.77294,0.99741,0.98453,0.98793,0.97937,0.12846,0.21286,0.75969,0.000256565,0.000256565,0.000256565
31,355.539,0.16489,0.26319,0.77036,0.99626,0.98435,0.98071,0.97399,0.13377,0.22447,0.75992,0.000234068,0.000234068,0.000234068
32,366.996,0.16349,0.25657,0.77035,0.99672,0.9844,0.98071,0.97235,0.13352,0.22748,0.75988,0.00021157,0.00021157,0.00021157
33,378.255,0.16515,0.25195,0.76752,0.99603,0.98408,0.9887,0.98114,0.13099,0.2098,0.75787,0.000189072,0.000189072,0.000189072
34,389.502,0.16188,0.24895,0.77012,0.99616,0.98413,0.9887,0.97965,0.12636,0.21047,0.75798,0.000166574,0.000166574,0.000166574
35,400.751,0.15544,0.24269,0.76845,0.99491,0.98459,0.98968,0.97998,0.12697,0.20684,0.7576,0.000144077,0.000144077,0.000144077
36,411.993,0.1535,0.2366,0.76549,0.98669,0.98915,0.98945,0.9806,0.12441,0.20181,0.75772,0.000121579,0.000121579,0.000121579
37,423.218,0.1521,0.23345,0.76757,0.99643,0.98407,0.98913,0.97999,0.12782,0.20036,0.75847,9.9081e-05,9.9081e-05,9.9081e-05
38,434.47,0.14579,0.2267,0.76375,0.99444,0.9898,0.99032,0.98153,0.12056,0.19879,0.75684,7.65832e-05,7.65832e-05,7.65832e-05
39,445.703,0.1382,0.2243,0.76662,0.99568,0.9898,0.99014,0.98168,0.11619,0.1916,0.75705,5.40855e-05,5.40855e-05,5.40855e-05
40,456.95,0.13983,0.22171,0.76749,0.99567,0.9898,0.98929,0.98152,0.11729,0.1909,0.75775,3.15878e-05,3.15878e-05,3.15878e-05
